اَنوشا 	جاویدانبرگشت به لیست
خانم گل 	  خانم (ترکی) + گل (فارسی) خانمی که از زیبایی و لطافت چون گل است.
خاور 	 (مخففِ خاوران) هم به معنی مشرق و هم به معنای مغرب است.
ختا 	 نام سرزمین چین شمالی که محل زندگی قبایل ترک بوده است.
ختمی 	 گیاهی علفی، پایا، و زینتی از خانواده پنیرک که گلهای درشت دارد.
خجسته 	شادباش، مبارک
خجسته لقا 	 خجسته (فارسی) + لقا (عربی) خوش سیما، خوشرو
خجیر 	زیبا روی و پسندیده
خداآفرید 	 آفریده خداوند
خدیجه 	 مولودِ پیش از اتمام ماه ها
خرامان 	 دارای حالت خرامیدن، در حال خرامیدن، به آهستگی و با ناز.
خرشا 	 خورشید، آفتاب، از شخصیتهای شاهنامه، نام پسر خراد از سرداران ‏خسروپرویز پادشاه ساسانی.
خرشید 	 خورشید، آفتاب، از شخصیتهای شاهنامه، نام پسر خراد از سرداران ‏خسروپرویز پادشاه ساسانی
خرم بانو 	 بانوی شاد و خوشحال
خرم بهار 	 آن که چون بهار خرم و با طراوت است، نام دختر فتحعلی شاه قاجار
خرم چهر 	 آن که چهره ای شاداب و با طراوت دارد.
خرم گل 	 آن که چون گل خرم و با طراوت است.
خرمدخت 	 دختر شاد و با طراوت
خرمدل 	خوشدل، خوشحال، شادمان
خرمناز 	 زیبا و با طراوت
خرمه 	 نام همسر مزدک، گیاهی است مانند لوبیا
خزال 	 با ناز راه رونده، کسی که با ناز راه می‌رود.
خزان	نام سومین فصل سال، پس از تابستان و پیش از زمستان، پاییز
خزان 	 نام سومین فصل سال، پس از تابستان و پیش از زمستان، پاییز
خزر	فتان – دختر که عشوه هایی زیرکانه می ریزد
خضرا	سبز ،تازه
خلیله 	 مؤنث خلیل
خندان 	خندیدن، با لبخند
خندان چهر 	 آن که چهره ای خندان و متبسم دارد.
خندان گل 	 آن که چون گل شاداب و باطراوت است.
خوب چهر 	 دارای سیمای زیبا، زیبا.
خوبرخ 	از نام های برگزیده
خوبروی 	از نام های برگزیده
خوبیار 	 یارخوب
خوردخت 	از نام های برگزیده
خوردیس	مانند خورشید، درخشان
خورزاد 	از نام های برگزیده
خورسان 	 مانند خورشید
خورشاد 	از نام های برگزیده
خورشید 	هور، هور شید
خورشید چهر 	از نام های برگزیده
خورشید دخت 	 مرکب از خورشید + دخت (دختر)
خورشید رخ 	 آن که چهره‌اش چون خورشید می‌درخشد.
خورشیدفر 	 آن که شکوه و جلالی چون خورشید دارد.
خورشیدمهر 	 آن که مهر و محبتی چون خورشید دارد.
خوروش 	خورشیدوش، تابان و درخشان چون خورشید
خوش لقا 	 خوش (فارسی) + لقا (عربی) خوش صورت، زیبا
خوشاب 	 میوه‌ای که با محلول آب و شکر می‌پزند، روشن و شفاف، آبدار و ترو تازه، جواهر تابان و درخشان
خوشبوی 	از نام های برگزیده
خوشچهر 	نیکو روی
خوشخو 	نیک رفتار، با صفا
خوشدل 	شاد، شادمان، خوشنود، خوشحال
خوشروز 	 دارای زندگی راحت و بارفاه.
خوشروی 	خوشرو، خوش صورت، خوشگل
خوشگو 	خوش سخن
خوشنوا 	خوش آواز، خوش آهنگ
خوشه 	تعدادی دانه، میوه یا گل که به محور متصل باشند
خوشیار 	 دوست و یار شاد و شادمان
خوشین 	خوش و زیبا
خیرالنسا 	 بهترینِ زنان؛ عنوانی برای حضرت فاطمه(س) دختر پیامبر اسلام(ص)
خیزران 	 نوعی نی مغزدار با ساقهای محکم و بلند؛ نام مادر امام محمّد تقی(ع)

دَستنبو	میوه ای خوشبوبرگشت به لیست
دَریا 	(در جغرافیا) توده ی بسیار بزرگی از آب، دریاچه، (به مجاز) شخص بسیار آگاه و دانشمند،
دُخمل 	از نام های برگزیده
دُرافشان 	روشن، تابان ، شیرین سخن
دُردانه 	دانه در، مروارید بزرگ
دُرسا 	دُر= مروارید، لؤلؤ + سا (پسوند شباهت)، شبیه به دُر؛ (به مجاز) گران قیمت و ارزشمند.
دُرنا	پرنده ی آب چرِ بزرگ، وحشی و حلال گوشت، کُلنگ.
دُرنا 	نام پرنده ای است
دُرین	دُر + ین (پسوند نسبت)، از دُر، ساخته شده از دُر؛ (به مجاز) گران بها و قیمتی
دُغدو 	نام مادر اشوزرتشت
دِرمنَه 	گیاهی خوشبو
دِنا 	قسمتی از کوهستان شمال غربی فارس که قلهای معروف به همین نام دارد
دادآفرید 	 از داد آفریده شده، از نامهای خداوند
دادلی 	 شیرین و نمکین
دارانا 	 نام روستایی در نزدیکی اهر
دارینا 	 زرگر، طلاساز، مجازا ارزشمند و گرانبها
دارینه 	 نام روستایی در نزدیکی سقز
دالیا 	 نوعی از گلِ کوکب
دامینه 	 زیبا، جاری و روان، همچنین به معنای دانش و دانایی نیز آمده است.
دایانا 	(دایا (زر سرخ و طلا) + پسوند اسم سازِ (نا)) به معنی مثل زر سرخ و (به مجاز) زیبا روی
دراج 	نام پرنده‌ای است
درافشان 	 آن که مروارید میافشاند؛ (به مجاز) بخشنده؛ دارای فصاحت و زیبایی، باران ریز.
دربها 	 بانوی ارزشمند، دختری که مانند مروارید ارزشمند است، نام همسر کورش کبیر
درتا 	 مانند مروارید، همتای دُر
درخشا 	 نورانی، تابنده ، درخشان
درخشان 	 دارای درخشش، روشن و تابان، درخشنده، (به مجاز) جالب توجه و چشم گیر و خوب و موفقیت آمیز.
درخشنده 	 (صفت فاعلی از درخشیدن)، دارای درخشش و تلألؤ؛ روشن و تابان.
دردانه 	 بسیار محبوب و گرامی، عزیزکرده، ناز پرورده؛ نیز فرزند بسیار گرامی.
درسا 	 دُر= مروارید، لؤلؤ + سا (پسوند شباهت)، شبیه به دُر؛ (به مجاز) گران قیمت و ارزشمند.
درستی 	 پاکی، حقیقت، صحت، نام دختر انوشیروان پادشاه ساسانی
درفام 	 مانند در درآسا دُرمانند به رنگ دُر
درفشان 	 درخشان و روشن
درمان 	چاره
درناز 	 (دُر= مروارید، لؤلؤ + ناز = زیبا و قشنگ) (به مجاز) زیبا رو و گران بها.
دریا 	بحر
دریادخت 	 مرکب از دریا + دخت (دختر)
دریاناز 	 مرکب از دریا و ناز، مایه ناز و مباهات دریا یا به معنای دریای ناز،
دل افروز 	روشن کننده دل
دل انگیز 	نشاط آور
دل آرا 	موجب آرامش و شادی دیگران؛ محبوب، معشوق،
دل آرام	موجب آرامش و آسایش خاطر
دل آسا 	 موجب تسکین و آسایش دل
دل آشوب 	از نام های برگزیده
دل آویز 	 زیبا، دلنشین، محبوب
دلارام 	 موجب آرامش خاطر، محبوب، معشوق، با آسودگی خاطر.
دلاویز 	دلپسند، مرغوب، دلخواه
دل‌آرا 	 موجب آرامش و شادی دیگران؛ محبوب، معشوق، نام همسر دارا (داریوش سوم)
دلبر 	یار و معشوق
دلپذیر 	دلخواه, پسندیده
دلپسند 	پسندیده، مرغوب
دلجو 	نوازش کننده
دلخوش 	خوشدل، خوشحال ،شادمان
دلدار 	دلبر, معشوق, دلیر, دلاور, شجاع
دلربای 	زیبا، جذاب
دلشاد 	خوشحال ، شادمان
دلکش 	دلربا, دلپذیر, دلفریب
دلگرم 	خشنود، امیدوار
دلناز 	موجب فخر و مباهات دل
دلنواز 	مایه ی آرامش دل، آرامش بخش؛ نوازشگر، مهربان و دلسوز، محبوب و معشوق.
دلوین 	رباینده دل و عشق
دمساز 	همدم، همراز، هم صحبت
دنبره 	نوعی ساز، تنبور
دنیز 	 اسم ترکی به معنای دریا
دیبا 	نوعی پارچه ی ابریشمی معمولًا رنگین.
دیبارخ 	از نام های برگزیده
دین 	داور، داوری
دینا 	داور، داوری؛ (در اوستایی) دین؛ (در عبری) (= دینه) انتقام یافته؛ نام خواهر یوسف(ع)
دیناز 	خالق زیبایی
دینه 	  نام دختر یعقوب (ع) و خواهر یوسف (ع)
ذَلفا 	دختر سفید روی؛ شاعره معاصر خلفای عباسی، دختر ابیض زن و معشوقه ی نجده ی ابن اسود.

رَسابانو 	بانوی برگزیده و بلند بالابرگشت به لیست
رَسادخت 	 دختر برگزیده و بلند بالا
رَسپینا 	 فصل پاییز
رَستا 	رَستن، رهیدن + ا (پسوند)، رستگار شده، رهایی یافته و خلاص شده
رُزا 	گل رز
رُکسان 	 روشنک، رکسانا
رُکسانا 	روشنک، نام دختر دارا که اسکندر به موجب وصیت دارا او را به ازدواج خود در آورد.
رُونیا	آن که چهره‌اش مثل نیاکان است
رُونیا 	آن که چهره اش مثل نیاکان است؛ (به مجاز) اصیل
رابو 	 نام گلی از گلهای بهاری
رابیا 	 مشهور، نامدار
راتا 	 نام فرشته ای است
راحل 	دختر مهاجر
راحیل 	نام یک فرشته
رادا 	 راد + ا (پسوند نسبت)، منسوب به راد
راددخت 	 دختر بخشنده یا خردمند
رادنوش 	از نام های برگزیده
راز 	 آنچه از دیگران پنهان نگاه داشته می شود، سِر
رازان 	 نام روستایی در نزدیکی خرم آباد
رازک 	 گیاهی علفی از خانواده شاهدانه که معطر، تلخ، و دارویی است
رازمهر 	از نام های برگزیده
رازیانه 	گیاهی خوشبو
رافعه 	اوج دهنده، رفیع کننده (باعث افتخار)
رافونه 	 پونه
رام افزا 	 افزون کننده آرامش
رام افزون 	رام افزا، افزون کننده آرامش
رام بانو 	 بانوی آرام یا بانوی شاد
رام دخت 	از نام های برگزیده
رامدخت 	 دختر آرام
رامش 	 شادی، خوشی، لذت، حظ ، آسودگی، آسایش، سرود، نغمه
رامشین 	 نام روستایی در نزدیکی سبزوار
رامک 	آرامش دهنده
رامونا 	 مظهر عشق، لاتین نگهبان عاقل
رامی 	  منسوب به رام
رامینا 	رامین + الف (نسبت)، منسوب به رامین؛ دخترِ طربناک
رامینه 	 رامین
راوش 	 مصحف زاوش، نام ستاره مشتری
راویز 	 خارشتر
راویس 	 صاحب جاه و جلال
رایا 	رای، فکر، اندیشه، تأمل
رایان 	 اسم کوهی در حجاز
رایحه 	عطر خوش(رایحه الجنت) ،عطر حضرت زهرا
رایکا 	پسندیده و دوست داشتنی
رایومند 	دارنده فروغ و شکوه
رخسار 	روی، چهره، صورت ، سیما
رخساره	چهره ، صورت، گونه
رخشا 	رخشان، درخشان
رخشان	درخشان
رخشانه 	رخشان و درخشنده
رخشنده 	درخشان ، نورانی
ردیمه 	نام زن کمبوجیه و دختر هوتن
رزیتا 	نامی فرانسوی به معنی گل رز کوچک
رسا 	بالغ، بلند
رسپینا 	 فصل پاییز
رستاک	شاخه تازه ای که از بیخ درخت برآید
روبیتا 	بی‌نظیر
روجا 	منسوب به روج (روز،آفتاب)؛ (به مجاز) زیباروی و آفتاب چهره؛ روجا نام دهی در تنکابن
رودابه 	فرزند تابان و مادر رستم دستان
روژیا 	روز و روشنایی
روژیار 	 روزگار
روژین 	منسوب به روز، تابناک و درخشنده
روژینا 	 منسوب به روز
روشان	روشن
روشنک 	دختر دارا
روناک 	روشن، تابناک
رونیکا 	روی زیبا، زیباروی
رویا 	خاطره‌های شیرین
رها	نجات یافته، آزاد
ریحانه 	گیاهی خوشبوی که در زمین نرم روید
ریرا 	در گویش مازندرانی به گوش باش ، به هوش باش
ریواس 	گیاهی با شاخه‌های سپید

زُمرد	گوهر، از سنگ‌های قیمتیبرگشت به لیست
زُبیده 	 نام گیاهی (همیشه بهار)؛ دختر جعفرابن منصور زن هارون الرشید و مادر خلیفه امین.
زُلفا	(زلف = موی بلندِ سر، گیسو + الف (پسوند نسبت))، منسوب به زلف؛
زُلفا 	 منسوب به زلف؛نزدیکی و منزلت و قربَت.
زادک 	 نام روستایی در نزدیکی قوچان
زادمهر 	برآمده از روشنایی
زاکیه 	 نیکو، پاکیزه
زامیر 	 آواز
زانوس 	 نام یکی از دو شعبه بزرگ رود چالوس
زاهده 	 مؤنث زاهد
زرافشان 	افشاننده سیم و زر
زراندام 	از نام های برگزیده
زربانو 	نام دختر رستم و خواهر بانو گشتاسب
زربین 	 سرو کوهی
زرپری 	  آن که چون زر و پری درخشنده و زیباست
زرتا 	 همتای زر، درخشان و زیبا چون طلا
زرتاج 	 زر(فارسی) + تاج (فارسی) زرین تاج
زرخاتون 	 زر( طلا) + خاتون( بانو)
زردخت 	 مرکب از زر( طلا) + دخت ( دختر)
زردیس 	به شكل زر
زرستان 	نام دختر ارجاسب
زرشام 	 نام دختری از خاندان جمشید پادشاه کیانی
زرکا 	 به زبان گیلکی به معنی نوعی پرنده
زرگل 	زرین گل
زرگیس 	از نام های برگزیده
زرگیسو 	از نام های برگزیده
زرمان 	 مانند زر، بسیار زیبا
زرناز 	 مرکب از زر( طلا) + ناز(کرشمه)
زرنگار 	از نام های برگزیده
زرنگیس 	 زرین گیس زرین گیس
زرنوش 	 ام شهری که دارا آن را بنا کرده بود
زرواندخت 	  از زروان (نام ایزدی) + دخت (دختر)
زری 	منسوب به زر، زر دار
زرین 	 از جنس زر، به رنگ زر، طلایی
زرین بانو 	از نام های برگزیده
زرین تاج 	 زرین (فارسی) + تاج (معرب) آن که تاجی از طلا بر سر دارد.
زرین چهر
زرین دخت 	 مرکب از زرین (طلایی یا از جنس زر) + دخت (دختر)
زرین گل 	 آن که چون گلی زرین زیبا و درخشان است
زرین گیس 	 آن که موهایی به رنگ طلا دارد، نام زنی در منظومه ویس و رامین
زرین مهر 	 خورشید طلایی
زرین نرگسه 	 ستاره‌های آسمان
زرین نگار 	 آراسته شده با زر
زرین همای 	 همای زرین، آفتاب
زرین هور 	 خورشید طلایی
زرینه 	  ساخته شده از طلا
زعفران 	گیاهی علفی، چند ساله و از خانواده زنبق که گلهای پاییزی سفید یا بنفش دارد.
زکیه 	مؤنث زکی، پاک، طاهر، پارسا
زگما	 نام پلی در زمان سلوکیان که سلوکیه را به شهر آپاما وصل می‌کرد.
زلال 	 صاف و شفاف، (به مجاز) آب صاف و گوارا، پاک، خالص
زلیخا 	 نام همسر عزیز مصر که مفتون زیبایی یوسف (ع) شد.
زمانه 	 روزگار، چرخ
زمرد 	نام سنگی قیمتی به رنگ سبز
زمزم 	 نام چشمه‌ای در نزدیکی کعبه
زمزمه 	 صدای حرف زدن آهسته، صدای آواز خواندن آهسته
زمیرا 	 بلبل
زنبق 	 گلی درشت به رنگهای بنفش، سفید، یا زرد
زوشا 	 زیبا، نیکو، دلربا، از ریشه اوستایی زوش، نام نیای منوچهر پادشاه پیشدادی
زوفا 	گیاهی پایا و معطر از خانواده نعناع
زویا 	زندگی، زنده، دوست داشتنی
زهرا 	  روشن، درخشان ، نام دختر پیامبر(ص)
زهراناز 	 درخشنده و نازنین، ترکیبی قشنگ از نام زهرا
زهره 	سیاره زهره ونوس
زهیرا 	به معنی شکوفه‌دار، درخت شکوفه‌دار
زیب النساء 	بهترین زنان، زیباترین زنان،
زیبا	آن که یا آنچه دیدنش چشم نواز و خوشایند است، دلنشین، مطبوع
زیبا 	  آن که یا آنچه دیدنش چشم نواز و خوشایند است، دلنشین، مطبوع
زیبا دخت 	از نام های برگزیده
زیباچهر 	 آن که چهره‌ای زیبا دارد، زیبا
زیبارخ 	  آن که چهره‌ای زیبا دارد، زیبا
زیباروی 	از نام های برگزیده
زیبان 	 زیبا، خوشایند
زیبنده 	 شایسته، سزاوار، زیبا، آراسته
زیتون 	از اسامی قرآنی ، نماد صلح و انسان دوست
زیتونه 	 یکدانه زیتون
زینا 	 نام دختر نوح نبی
زینب 	 پاکیزگی، نام درختی خوشبو و خوش منظر
زینت 	 آذین، آرایش، پیرایه، تزیین، حلیه، زیب، زیور
زیور 	آرایش، پیرایه
زیورتاج 	 آن که چون زیور و جواهری بر تاج می‌درخشد.
زیوین 	نقره‌ای، نقره گون

ژاسمی 	یاسمنبرگشت به لیست
ژاسمین 	 یاسمن
ژاکلین 	کنتس هنوت و هلند
ژالانه 	 گیاهی زیبا و خودرو
ژاله	شبنم ، قطره باران که روی برگ درختان می نشیند
ژالین 	شعله آتش
ژامک	 اسم باستانی به معنای آینه
ژانت 	 مونث ژان (ژان = یحیی، یوحنا، خداداد)
ژانیا 	از نامهای باستانی
ژانیتا 	نام شهری در یونان در کنار دریاچه ای به همین نام
ژانین 	 نام دریاچه‌ای در یونان
ژانینا 	 نام شهری در یونان در کنار دریاچه‌ای به همین نام
ژاوا 	جاوه نام قسمتی از اقیانوس هند میان جزیره جاوه و سوماترا و برنئو
ژاوه 	نوعی گیاه وحشی از تیره کاکوتی
ژاییژ 	 شراره آتش
ژربرا 	گلی زینتی به شکل مینا ولی بسیار درشت تر از آن به رنگهای صورتی تا سرخ
ژرفا 	عمیق، عمیق ترین یا دورترین نقطه جایی
ژرفی 	 عمق، ژرفا
ژرفین 	 عمیق
ژرویرا 	ژریرا
ژنیا 	  ژنیک
ژنیک 	 با استعداد، نابغه
ژوان 	 زمان، میعاد، ملاقات
ژون 	 بت، صنم
ژیان چهر 	از نام های برگزیده
ژیان دخت 	از نام های برگزیده
ژیژیس 	 نام ندیمه پروشات همسر داریوش پادشاه هخامنشی
ژیکان 	قطره ی باران (به مجاز) زلال و شفاف، زیبا و آرامش بخش
ژیلا	ژاله تگرگ
ژیلا 	  ژاله تگرگ
ژینا 	باهوش، با نابغه، ژنیک
ژینوس 	باهوش، نابغه، ژینا
ژیوار 	 نام کوهی در اورامان، زندگی کردن

سَرو	از انواع درختان که همیشه سبز است؛ (به مجاز) شاداب و با طراوتبرگشت به لیست
سَحرناز 	(عربی فارسی) زیبایی سپیده دم؛ (به مجاز) زیبا
سَرور 	 آنکه مورد احترام است و نسبت به دیگری یا دیگران سِمَت بزرگی دارد؛ فرمانده، رئیس، بزرگ
سَروناز 	سرو نورسته، سروی که شاخه های آن به هر طرف مایل باشد؛ نام نوایی در موسیقی ایرانی
سَروین 	شبیه سَرو؛ (در کردی) روسری و چارقد
سَریر 	زیبا ، تخت پادشاهی
سَلین 	 سیل مانند؛ نام رودخانه‌ای در آذربایجان
سَلینا 	منسوب به سَلین
سَما 	آسمان
سَهی 	صفت سرو
سُرنا	نوعی ساز بادی
سُرنا 	به ضم سین و سکون
سُلدا 	 حامی، یاور
سُها	ستاره ی کم نوری در کنار ستاره ی عناق در صورت فلکی دُب اکبر
سِتیا 	گیتی، دنیا و روزگار
سابرینا 	مژده، بشارت
سابو 	 هاله، خرمن ماه
ساتی 	 در مصر باستان، نام فرشته نگهبان ارواح
ساتیا 	 از نامهای باستانی
ساتین 	محبوب و دوست داشتنی
ساجده 	دختر سجده کننده(عبادت کننده خدا)
سارگل 	 گل زرد
سارنگ 	 نام پرنده‌های کوچک به رنگ سیاه، سار، ساری؛ گوشه ای در آواز ابوعطا؛ نام سازی مثل کمانچه
سارنیا 	 خالص، پاک، منزه، بانوی بی ریا، دختر پاکدامن
ساریان 	 نام روستایی در نزدیکی مشهد
سارینا 	خالص، پاک
ساعده 	دختر مددیار، یاری کننده
ساغر 	ظرفی که در آن شراب مینوشند، جام شراب؛ دل عارف است که انوار غیبی در آن مشاهده میشود.
سالمه 	بدون عیب، در کمال سلامت
سالی 	 بی غم و سرخوش، سالمند و دارای عمر طولانی، نام روستایی حوالی خرم آباد
سالینا 	 سال + ین (پسوند نسبت) + ا (پسوند نسبت)، منسوب به سال
سامره 	نام شهری در عراق که مرقد امام دهم و یازدهم در آن واقع شده است
سامه 	 عهد، پیمان، جای امن و امان، پناه، مأمن
سامیرا	سمیرا، زن بزرگوار، نام عمه شیرین در داستان خسرو و شیرین ترجمه عربی مهین بانو است
سامینا 	مانند مینا؛ نام گلی
سامیه 	یعنی بانوی بلندمرتبه و از القاب حضرت زینب
ساناز 	نام گلی؛ کمیاب، نادره
سانای 	بیقرار
سانلی 	معروف، مشهور
سانوا 	 دختر خوش سخن، بانویی که شیرین حرف می‌زند.
سانیا	سایه روشنِ جنگل
ساوی 	 با ارزش، گرانمایه
ساویز 	خوش خلق و نیک خو
ساویس 	با ارزش، گرانمایه
ساهره 	چشمه روان
سایا 	 یکرنگ، بیریا
سایان 	منسوب به سایه، نام رشته کوهی در آسیای مرکزی
ساینا	سیمرغ ، عنقا
سایه 	 تاریکی نسبی، پناه، حمایت؛ حشمت و بزرگی.
سبا 	سوره 34 قرآن کریم، شهری در یمن که بلقیس ملکه آنجا بوده، در عبری به معنی انسان
سبارو 	 کبوتر
سبزبهار 	 نام یکی از الحان قدیم ایرانی
سبزپری 	 فصل بهار
سبزه 	سبزه وار، چمن زار، گندمگون
سپتا 	خوب ، خوبی
سپیتا 	 سفیدترین و پاکترین
سپیدار	درختی از خانواده بید با برگهایی براق
سپیده 	نور اول صبح، سفید روی
سپیده گل 	 گل سپید
سپینود 	در شاهنامه دختر پادشاه هند (شنگل) و زن بهرام گور
ستاره 	؛ بخت و اقبال و نماد شخص مجلس آرا و زیبارو
ستاک	شاخه تازه رسته و نازک
ستایش	ستودن ، تعریف
ستایش 	 حمد و سپاس خداوند، شکرگزاری (به درگاه خداوند)؛ تعریف و تمجید
ستوده 	 آنکه او را ستوده‌اند؛ ستایش شده
ستیا 	جهان ، هستی ،  دنیا ، روزگار- بانوی نجیب و بلندمرتبه – لقب حضرت معصومه
ستیلا	نام دختر امام موسی کاظم و لقب حضرت مریم
سداب 	 نام گیاهی است
سدنا	سجده کننده بر خانه خدا
سرآویز 	 آنچه به سر می‌آویزند
سرمه 	(به مجاز) سیاهی، تاریکی
سرور 	 شادمانی
سروناز 	زن زیبا، درخت سروناز
سروین 	شبیه سرو، مانند سرو
سلاله 	نسل، از القاب حضرت زهرا
سلوا (سلوی) 	نوعی پرنده(بلدرچین) در قرآن که در بهشت هم هست
سلین 	نام رودخانه ای در آذربایجان که از قره داغ سرچشمه می گیرد
سمن	رازقی ، یاسمن
سمن 	یاسمن
سنا 	روشنایی
سودابه 	یکی از شخصیت های شاهنامه
سوره 	سوره قرآن
سوری 	رز قرمز
سوزان 	شعله ور، درحال سوختن، سوزاننده
سوسن 	نام گلی
سوفیا	اسمی با ریشه یونانی به معنای خرد
سوگل 	 مورد علاقه و محبت زیاد، محبوب
سوگند 	قسم خوردن
سونیا 	(سو = نور + نیا) نورِ نیاکان، (در یونانی) خرد و عقل، دختر نور
سویل 	 (تلفظ
سوین 	(ترکی) شادباش – عشق، محبت، علاقه شدید
سی گل 	سی عدد گل
سیتا 	جهان، گیتی
سیما 	صورت، رخ
سیمبر 	دارنده اندام سفید و زیبا
سیمروی 	 سپیدروی
سیمگون 	 نقره فام
سیمیا	بلاغت ، فصاحت
سیمین 	 نقره فام، سفید
سیمین چهر 	 سپیدروی
سیمین دخت 	دختر سپید با صفت های درخشان
سینره 	گیاهی زینتی و نیز دارویی ، پامچال فر
شِیدا 	عاشق، دلداده؛ آشفته و پریشانبرگشت به لیست
شاپرک 	نوعی پروانه بزرگ که معمولاً شب پرواز می کند.
شاپری 	 شاه پری
شاخسار 	 محل انبوهی شاخه های درخت
شاد آفرید 	از نام های برگزیده
شادان 	 شاد، مسرور؛ (در حالت قیدی) باحال شاد، شادمانه
شادانه 	 شاهدانه
شادآفرید 	 آن که شاد آفریده شد، آفریده شاد
شادبانو 	از نام های برگزیده
شادبهر 	 آن که از شادی بهره دارد، خوشحال
شادپری 	از نام های برگزیده
شاددخت 	 دختر شاد
شاددل 	از نام های برگزیده
شادرخ 	 آن که چهره ای شاد و متبسم دارد.
شادرو 	 آن که روی و چهره اش شاد است، شاداب، شادمان و مسرور
شادروز 	 نیک روز، خوشبخت، کسی که روزش شاد است.
شادروی 	از نام های برگزیده
شادفر 	 آن که دارای شکوه و شادی است.
شادک 	 نام مستعار سمک در داستان سمک عیار
شادکام 	شادمان، کامران، کامروا
شادکامه 	 کامروا، خوشحال، شادمان
شادگل 	 آن که چون گل شاداب است.
شادگون 	 شاد و خوشحال
شادلی 	شاد روی نرمخو و آرام
شادلین 	نرمی و ملایمت، آرام و خوش چهره
شادمان 	خوش، مسرور
شادمانه 	 شادمان، شاد، خوشحال و مسرور، با شادی و خوشحالی
شادمهر 	از نام های برگزیده
شادناز 	ویژگی آن که شاد است و با عشوه و ناز است.
شادنوش 	 شادی و شادمانی همیشگی و جاوید
شادور 	 شادمان، خوشحال
شادی 	 وضع و حالت شاد، شاد بودن، خوشحالی، سرور؛ جشن
شادی افزا 	افزاینده شادی و نشاط
شادی آور 	از نام های برگزیده
شادیا 	بانوی شاد، دختر شاد و سرخش، منسوب به شادی
شادیان 	 از روی شادی، بر اساس شادی، آهنگ و نوای شادی آور
شادیانه 	 از روی شادی، بر اساس شادی، آهنگ و نوای شادی آور
شادیه 	 منسوب به شادی
شارونا 	سرزمین پربار و حاصلخیز
شارین 	 متمدن، شهرنشین، مرکب از شار به معنای شهر + ین (پسوند نسبت)، نام دهی در قزوین
شانا 	 باد ملایم
شاندیز 	شکوهمند و دارای عظمت و جلال، شاهان دژ، نام روستایی در نزدیکی مشهد
شاهدخت 	شاه دختر ، دختر شاه
شاهرو 	از نام های برگزیده
شایا	شایان
شایسته 	با ارزش ، سزاوار
شایلی 	بی همتا
شایلین 	اسمی ترکی به معنی بی همتا
شاینا 	شاهدانه
شب بو 	 گلی معطر و زینتی در رنگهای مختلف با ساقه ی بلند
شب پره 	 پروانه، خفاش
شبدیس 	مانند شب
شبنم	از اسامی دخترانه قطره ای که شباهنگام روی برگ گل می نشیند
شبنم 	رطوبت هوا که مخصوصاً هنگام شب
شراره 	از نامهای رایج امروزی
شرمین 	از نام های برگزیده
شروین 	نام قلعه ی شروان
شکرانه 	شکرگزاری
شکربانو 	از نام های برگزیده
شکرناز 	از نام های برگزیده
شکفته 	از نام های برگزیده
شکوفا	شکفته شده
شکوفه	گل درخشان میوه دار
شکوفه 	گل‌های رنگارنگ میوه
شکوه 	بلندجایگاه، با عظمت
شکیبا 	از اسامی دخترانه به معنی صبور، برد بار، باشکیبایی
شگون 	خجستگی، با شانس
شمسا 	دختری که مانند خورشید است،درخشان و پرتوافشان
شمیس 	خورشید کوچک
شمیلا	نسیم و باد شمال
شمیم 	از اسامی دخترانه به معنی بوی خوش
شنایا 	همه چیز دان
شوانه 	 گله بان، چوپان
شورانگیز 	از نام های برگزیده
شوکا 	نوعی گوزن بومی اروپا و آسیا؛ در مازندرانی به آهو و غزال
شهربانو 	نام زن رستم
شهرخ 	از نام های برگزیده
شهردخت 	از نام های برگزیده
شهرزاد	نام دختری زیبا در قصه هزار و یک شب
شهرزاد 	از نام های برگزیده
شهرناز 	نام خواهر جمشید
شهرنواز 	خواهر شاه جمشید پیشدادی
شهرو 	نام مادر برزویه پزشک
شهرود 	نام زن سهراب ومادر یرزو
شهگل 	بهترین گل، گلِ شاهانه
شهلا 	از نام های برگزیده
شهناز 	از نام های برگزیده
شهنواز 	از نام های برگزیده
شهین 	از نام های برگزیده
شهین بانو 	از نام های برگزیده
شیدا 	شیفته
شیدبانو 	از نام های برگزیده
شیددخت 	از نام های برگزیده
شیدرخ 	از نام های برگزیده
شیده	روشنایی ، خورشید
شیرین 	مزه شادکامی
شیرین گل 	از نام های برگزیده
شیفته 	عاشق، مجنون
شیلا 	نام نهری در سیستان و بلوچستان، از نامهای متداول هندی
شیما 	زنی که روی چانه اش خال دارد ، زن زیبای عرب، نام دختر حلیمه سعدیه دایه پیامبر(ص)
شیوا 	رسا، فصیح،  بلند و کشیده

صَبا 	پیام رسان میان عاشق و معشوقبرگشت به لیست
صُراحی 	ظرف شراب، ظرف شیشه ای شراب؛ شراب زلال؛ در تصوف مقام انس را گویند.
صالحه 	دختر و زن نیکوکار
صبرا 	بردباری کردن در برابر سختیها و ناملایمت ها، شکیبایی
صبورا 	صبور + ا (الف نسبت یا تعظیم)، به معنی بردبار، صبور
صحرا 	بیابان؛ محلی خارج از منطقه مسکونی، که دارای پوشش گیاهی است.
صدف 	از اسامی دخترانه ، نام سه ستاره به شکل مثلث
صنم	بت زیبا
صنوبر	نام درختی همیشه سبز
